"","model","sens","spec","auc","accuracy"
"1","combined.1",0.02,0.987083241542093,0.845934491212719,0.920744559080066
"2","combined.2",0.02,0.990296144767899,0.846190638139805,0.923675001329959
"3","combined.3",0.0507936507936508,0.993021390374332,0.71994751727954,0.931068932182203
"4","combined.4",0.02,0.985483241542093,0.828090745294093,0.919284705065468
"5","combined.5",0.02,0.992060515128782,0.851601955792491,0.927479922541663
"6","combined.6",0.0153846153846154,0.9929350061703,0.823633951188131,0.925564037997164
"7","combined.7",0.0366666666666667,0.986754126820913,0.879208812636224,0.922109504079191
"8","grievance.1",0,0.998692810457516,0.747561476661929,0.929614343880023
"9","grievance.2",0,1,0.675009620376572,0.932794140375091
"10","grievance.3",0,0.998198198198198,0.75598584333724,0.935344850546042
"11","opportunity.1",0.04,0.99209575121053,0.844668586099826,0.929013232767582
"12","opportunity.2",0.04,0.99209575121053,0.844380581959716,0.929013232767582
"13","opportunity.3",0.0487179487179488,0.991536404771699,0.825691620041465,0.92709939129744
"14","opportunity.4",0.08,0.992709698558323,0.843621264486747,0.943153078832443
"15","opportunity.5",0.0981818181818182,0.990923984272608,0.842497216121319,0.943153078832443
