"","model","sens","spec","auc","accuracy"
"1","combined.1",0.721428571428571,0.802918676005665,0.845934491212719,0.795374236660131
"2","combined.2",0.716190476190476,0.807982724193925,0.846190638139805,0.798471047354869
"3","combined.3",0.480952380952381,0.816650637405232,0.71994751727954,0.791002705287841
"4","combined.4",0.682857142857143,0.820835371153574,0.828090745294093,0.807598711338842
"5","combined.5",0.736190476190476,0.817507478600464,0.851601955792491,0.809064573795456
"6","combined.6",0.695879120879121,0.816574601868719,0.823633951188131,0.804503315967787
"7","combined.7",0.796883116883117,0.829143914360291,0.879208812636224,0.823869288673836
"8","grievance.1",0.602777777777778,0.809953805917669,0.747561476661929,0.793635504111395
"9","grievance.2",0.523571428571429,0.79599623903713,0.675009620376572,0.776829439017202
"10","grievance.3",0.56031746031746,0.835152368049916,0.75598584333724,0.817297473184209
"11","opportunity.1",0.733333333333333,0.815783540153165,0.844668586099826,0.807847739315365
"12","opportunity.2",0.733333333333333,0.811150326218746,0.844380581959716,0.803413773088963
"13","opportunity.3",0.672362637362637,0.800514578300956,0.825691620041465,0.789894724662342
"14","opportunity.4",0.550909090909091,0.866197931161342,0.843621264486747,0.846611785159094
"15","opportunity.5",0.550909090909091,0.86444354519643,0.842497216121319,0.844972440896799
