"","model","sens","spec","auc","accuracy"
"1","opportunity.1",0.0652173913043478,0.995327102803738,0.853988893403763,0.933139534883721
"2","opportunity.2",0.0652173913043478,0.995327102803738,0.855817418393604,0.933139534883721
"3","opportunity.3",0.0769230769230769,0.995702005730659,0.836014987877453,0.932
"4","opportunity.4",0.0625,0.998223801065719,0.86101243339254,0.947899159663866
"5","opportunity.5",0.09375,0.998223801065719,0.860956927175844,0.949579831932773
"6","grievance.1",0,1,0.777411129443529,0.930588235294118
"7","grievance.2",0,1,0.759260061517131,0.932119205298013
"8","grievance.3",0,1,0.806474149976711,0.93698175787728
"9","combined.1",0.0869565217391304,0.995153473344103,0.85727330195968,0.932330827067669
"10","combined.2",0.0869565217391304,0.993537964458804,0.860188241904898,0.930827067669173
"11","combined.3",0.03125,1,0.849832214765098,0.935281837160752
"12","combined.4",0.0869565217391304,0.991922455573506,0.861417433448061,0.929323308270677
"13","combined.5",0.0652173913043478,0.992211838006231,0.859779222538261,0.930232558139535
"14","combined.6",0.0769230769230769,0.995702005730659,0.835794577914921,0.932
"15","combined.7",0.0888888888888889,0.988505747126437,0.894252873563215,0.926605504587156
